timestamp,image,result,season
2025-09-25 18:47:05,2025-09-25_18-44-34.png,lose,
2025-09-25 20:59:33,2025-09-25_20-51-02.png,win,
2025-09-25 21:07:21,2025-09-25_21-04-07.png,disconnect,
